"Designator","Mid X","Mid Y","Layer","Rotation"
"U1","123.708mm","-102.372mm","top","0.0"
"C2","121.158mm","-105.918mm","top","90.0"
"D1","119.888mm","-102.108mm","top","0.0"
"R3","134.62mm","-101.346mm","top","180.0"
"C1","135.89mm","-110.744mm","top","0.0"
"D3","135.89mm","-106.008mm","top","90.0"
"R2","114.046mm","-105.394mm","top","90.0"
"D2","117.856mm","-110.49mm","top","0.0"
"R1","114.046mm","-109.458mm","top","-90.0"
"R4","115.078mm","-102.362mm","top","0.0"
"U2","103.676mm","-106.156mm","top","0.0"
"J1","139.954mm","-101.097mm","top","0.0"
